rango,equipo,p_jugados,p_ganados,p_empatados,p_perdidos,goles_a_favor,goles_en_contra,diferencia_de_goles,puntos
1,de Bayern Munich,6,5,1,0,12,6,+6,16
2,dk FC Copenhagen,6,2,2,2,8,8,0,8
3,tr Galatasaray,6,1,2,3,10,13,-3,5
4,eng Manchester Utd,6,1,1,4,12,15,-3,4
1,eng Arsenal,6,4,1,1,16,4,+12,13
2,nl PSV Eindhoven,6,2,3,1,8,10,-2,9
3,fr Lens,6,2,2,2,6,11,-5,8
4,es Sevilla,6,0,2,4,7,12,-5,2
1,es Real Madrid,6,6,0,0,16,7,+9,18
2,it Napoli,6,3,1,2,10,9,+1,10
3,pt Braga,6,1,1,4,6,12,-6,4
4,de Union Berlin,6,0,2,4,6,10,-4,2
1,es Real Sociedad,6,3,3,0,7,2,+5,12
2,it Inter,6,3,3,0,8,5,+3,12
3,pt Benfica,6,1,1,4,7,11,-4,4
4,at RB Salzburg,6,1,1,4,4,8,-4,4
1,es Atlético Madrid,6,4,2,0,17,6,+11,14
2,it Lazio,6,3,1,2,7,7,0,10
3,nl Feyenoord,6,2,0,4,9,10,-1,6
4,sct Celtic,6,1,1,4,5,15,-10,4
1,de Dortmund,6,3,2,1,7,4,+3,11
2,fr Paris S-G,6,2,2,2,9,8,+1,8
3,it Milan,6,2,2,2,5,8,-3,8
4,eng Newcastle Utd,6,1,2,3,6,7,-1,5
1,eng Manchester City,6,6,0,0,18,7,+11,18
2,de RB Leipzig,6,4,0,2,13,10,+3,12
3,ch Young Boys,6,1,1,4,7,13,-6,4
4,rs Red Star,6,0,1,5,7,15,-8,1
1,es Barcelona,6,4,0,2,12,6,+6,12
2,pt Porto,6,4,0,2,15,8,+7,12
3,ua Shakhtar,6,3,0,3,10,12,-2,9
4,be Antwerp,6,1,0,5,6,17,-11,3
R16,eng Manchester City,7,7,0,0,21,8,+13,21
R16,es Real Madrid,7,7,0,0,17,7,+10,21
R16,de Bayern Munich,7,5,1,1,12,7,+5,16
R16,pt Porto,7,5,0,2,16,8,+8,15
R16,it Inter,7,4,3,0,9,5,+4,15
R16,es Atlético Madrid,7,4,2,1,17,7,+10,14
R16,eng Arsenal,7,4,1,2,16,5,+11,13
R16,es Barcelona,7,4,1,2,13,7,+6,13
R16,it Lazio,7,4,1,2,8,7,+1,13
R16,de Dortmund,7,3,3,1,8,5,+3,12
R16,es Real Sociedad,7,3,3,1,7,4,+3,12
R16,de RB Leipzig,7,4,0,3,13,11,+2,12
R16,fr Paris S-G,7,3,2,2,11,8,+3,11
R16,it Napoli,7,3,2,2,11,10,+1,11
R16,nl PSV Eindhoven,7,2,4,1,9,11,-2,10
R16,dk FC Copenhagen,7,2,2,3,9,11,-2,8
