SEASON,equipo,p_jugados,p_ganados,p_empatados,p_perdidos,goles_a_favor,goles_en_contra,diferencia_de_goles,puntos
2023-2024,Bayern Munich,7,10,2,1,24,13,11,32
2023-2024,FC Copenhagen,7,4,4,5,17,19,-2,16
2023-2024,Galatasaray,6,1,2,3,10,13,-3,5
2023-2024,Manchester Utd,6,1,1,4,12,15,-3,4
2023-2024,Arsenal,7,8,2,3,32,9,23,26
2023-2024,PSV Eindhoven,7,4,7,2,17,21,-4,19
2023-2024,Lens,6,2,2,2,6,11,-5,8
2023-2024,Sevilla,6,0,2,4,7,12,-5,2
2023-2024,Real Madrid,7,13,0,0,33,14,19,39
2023-2024,Napoli,7,6,3,4,21,19,2,21
2023-2024,Braga,6,1,1,4,6,12,-6,4
2023-2024,Union Berlin,6,0,2,4,6,10,-4,2
2023-2024,Real Sociedad,7,6,6,1,14,6,8,24
2023-2024,Inter,7,7,6,0,17,10,7,27
2023-2024,Benfica,6,1,1,4,7,11,-4,4
2023-2024,RB Salzburg,6,1,1,4,4,8,-4,4
2023-2024,Atlético Madrid,7,8,4,1,34,13,21,28
2023-2024,Lazio,7,7,2,4,15,14,1,23
2023-2024,Feyenoord,6,2,0,4,9,10,-1,6
2023-2024,Celtic,6,1,1,4,5,15,-10,4
2023-2024,Dortmund,7,6,5,2,15,9,6,23
2023-2024,Paris S-G,7,5,4,4,20,16,4,19
2023-2024,Milan,6,2,2,2,5,8,-3,8
2023-2024,Newcastle Utd,6,1,2,3,6,7,-1,5
2023-2024,Manchester City,7,13,0,0,39,15,24,39
2023-2024,RB Leipzig,7,8,0,5,26,21,5,24
2023-2024,Young Boys,6,1,1,4,7,13,-6,4
2023-2024,Red Star,6,0,1,5,7,15,-8,1
2023-2024,Barcelona,7,8,1,4,25,13,12,25
2023-2024,Porto,7,9,0,4,31,16,15,27
2023-2024,Shakhtar,6,3,0,3,10,12,-2,9
2023-2024,Antwerp,6,1,0,5,6,17,-11,3
