Nombre,Posición,Nacionalidad,Fecha de Nacimiento
David Raya,Goalkeeper,Spain,1995-09-15T00:00:00Z
Aaron Ramsdale,Goalkeeper,England,1998-05-14T00:00:00Z
Karl Jakob Hein,Goalkeeper,Estonia,2002-04-13T00:00:00Z
Cédric,Defence,Portugal,1991-08-31T00:00:00Z
Ben White,Defence,England,1997-10-08T00:00:00Z
Oleksandr Zinchenko,Defence,Ukraine,1996-12-15T00:00:00Z
Takehiro Tomiyasu,Defence,Japan,1998-11-05T00:00:00Z
Gabriel,Defence,Brazil,1997-12-19T00:00:00Z
William Saliba,Defence,France,2001-03-24T00:00:00Z
Jurrien Timber,Defence,Netherlands,2001-06-17T00:00:00Z
Jakub Kiwior,Defence,Poland,2000-02-15T00:00:00Z
Reuell Walters,Defence,England,2004-12-16T00:00:00Z
Ayden Heaven,Defence,England,2006-09-22T00:00:00Z
Thomas Partey,Midfield,Ghana,1993-06-13T00:00:00Z
Kai Havertz,Midfield,Germany,1999-06-11T00:00:00Z
Jorginho,Midfield,Italy,1991-12-20T00:00:00Z
Martin Ødegaard,Midfield,Norway,1998-12-17T00:00:00Z
Declan Rice,Midfield,England,1999-01-14T00:00:00Z
Leandro Trossard,Midfield,Belgium,1994-12-04T00:00:00Z
Emile Smith Rowe,Midfield,England,2000-07-28T00:00:00Z
Fabio Vieira,Midfield,Portugal,2000-05-30T00:00:00Z
Mohamed Elneny,Midfield,Egypt,1992-07-11T00:00:00Z
Mauro Bandeira,Midfield,Portugal,2004-04-19T00:00:00Z
Amario Cozier-Duberry,Midfield,England,2005-05-29T00:00:00Z
James Sweet,Midfield,Wales,2003-11-03T00:00:00Z
Myles Lewis-Skelly,Midfield,England,2006-09-26T00:00:00Z
Gabriel Jesus,Offence,Brazil,1997-04-03T00:00:00Z
Reiss Nelson,Offence,England,1999-12-10T00:00:00Z
Eddie Nketiah,Offence,England,1999-05-30T00:00:00Z
Martinelli,Offence,Brazil,2001-06-18T00:00:00Z
Bukayo Saka,Offence,England,2001-09-05T00:00:00Z
Ethan Nwaneri,Offence,England,2007-03-21T00:00:00Z
Mikel Arteta,,Spain,1982-03-26T00:00:00Z
