Nombre,Posición,Nacionalidad,Fecha de Nacimiento
Gregor Kobel,Goalkeeper,Switzerland,1997-12-06T00:00:00Z
Alexander Meyer,Goalkeeper,Germany,1991-04-13T00:00:00Z
Marcel Lotka,Goalkeeper,Poland,2001-05-25T00:00:00Z
Silas Ostrzinski,Goalkeeper,Germany,2003-11-19T00:00:00Z
Mats Hummels,Defence,Germany,1988-12-16T00:00:00Z
Niklas Süle,Defence,Germany,1995-09-03T00:00:00Z
Marius Wolf,Defence,Germany,1995-05-27T00:00:00Z
Ramy Bensebaini,Defence,Algeria,1995-04-16T00:00:00Z
Julian Ryerson,Defence,Norway,1997-11-17T00:00:00Z
Antonios Papadopoulos,Defence,Germany,1999-09-10T00:00:00Z
Nico Schlotterbeck,Defence,Germany,1999-12-01T00:00:00Z
Mateu Morey,Defence,Spain,2000-03-02T00:00:00Z
Ian Maatsen,Defence,Netherlands,2002-03-10T00:00:00Z
Guille Bueno,Defence,Spain,2002-09-18T00:00:00Z
Marco Reus,Midfield,Germany,1989-05-31T00:00:00Z
Jadon Sancho,Midfield,England,2000-03-25T00:00:00Z
Salih Özcan,Midfield,Turkey,1998-01-11T00:00:00Z
Emre Can,Midfield,Germany,1994-01-12T00:00:00Z
Felix Kalu Nmecha,Midfield,Germany,2000-10-10T00:00:00Z
Abdoulaye Kamara,Midfield,Guinea,2004-11-06T00:00:00Z
Jamie Bynoe-Gittens,Midfield,England,2004-08-08T00:00:00Z
Kjell Wätjen,Midfield,Germany,2006-02-16T00:00:00Z
Julian Brandt,Offence,Germany,1996-05-02T00:00:00Z
Niclas Füllkrug,Offence,Germany,1993-02-09T00:00:00Z
Sébastien Haller,Offence,Ivory Coast,1994-06-22T00:00:00Z
Donyell Malen,Offence,Netherlands,1999-01-19T00:00:00Z
Marcel Sabitzer,Offence,Austria,1994-03-17T00:00:00Z
Karim Adeyemi,Offence,Germany,2002-01-18T00:00:00Z
Ole Pohlmann,Offence,Germany,2001-04-05T00:00:00Z
Youssoufa Moukoko,Offence,Germany,2004-11-20T00:00:00Z
Samuel Bamba,Offence,Germany,2004-02-13T00:00:00Z
Paris Brunner,Offence,Germany,2006-02-15T00:00:00Z
Julien Duranville,Forward,Belgium,2006-05-05T00:00:00Z
Edin Terzić,,Germany,1982-10-30T00:00:00Z
