Nombre,Posición,Nacionalidad,Fecha de Nacimiento
Jan Oblak,Goalkeeper,Slovenia,1993-01-07T00:00:00Z
Horaţiu Moldovan,Goalkeeper,Romania,1998-01-20T00:00:00Z
Gomis,Goalkeeper,Spain,2003-05-20T00:00:00Z
Sergio Mestre,Goalkeeper,Spain,2005-02-13T00:00:00Z
Azpilicueta,Defence,Spain,1989-08-28T00:00:00Z
Axel Witsel,Defence,Belgium,1989-01-12T00:00:00Z
Stefan Savić,Defence,Montenegro,1991-01-08T00:00:00Z
Mario Hermoso,Defence,Spain,1995-06-18T00:00:00Z
Gabriel Paulista,Defence,Brazil,1990-11-26T00:00:00Z
Reinildo,Defence,Mozambique,1994-01-21T00:00:00Z
Nahuel Molina,Defence,Argentina,1998-04-06T00:00:00Z
Rodrigo Riquelme,Defence,Spain,2000-04-02T00:00:00Z
Adrián Corral,Defence,Spain,2003-01-05T00:00:00Z
Marco Moreno,Defence,Spain,2001-02-20T00:00:00Z
Ilias Kostis,Defence,Cyprus,2003-02-27T00:00:00Z
José Giménez,Defence,Uruguay,1995-01-20T00:00:00Z
Javier Boñar,Defence,Spain,2005-06-03T00:00:00Z
Marcos Llorente,Midfield,Spain,1995-01-30T00:00:00Z
Koke,Midfield,Spain,1992-01-08T00:00:00Z
Saúl,Midfield,Spain,1994-11-21T00:00:00Z
Vitolo,Midfield,Spain,1989-11-02T00:00:00Z
Diego Simeone,Midfield,Argentina,1970-04-28T00:00:00Z
Rodrigo de Paul,Midfield,Argentina,1994-05-24T00:00:00Z
Mini,Midfield,Spain,1999-04-10T00:00:00Z
Pablo Barrios,Midfield,Spain,2003-06-15T00:00:00Z
Aitor Gismera,Midfield,Spain,2004-02-21T00:00:00Z
Álex Calatrava,Midfield,Spain,2000-06-22T00:00:00Z
Rayane Belaid,Midfield,Algeria,2005-11-02T00:00:00Z
Antoine Griezmann,Offence,France,1991-03-21T00:00:00Z
Ángel Correa,Offence,Argentina,1995-03-09T00:00:00Z
Thomas Lemar,Offence,France,1995-11-12T00:00:00Z
Álvaro Morata,Offence,Spain,1992-10-23T00:00:00Z
Memphis Depay,Offence,Netherlands,1994-02-13T00:00:00Z
Marcos Paulo,Offence,Brazil,2001-02-01T00:00:00Z
Samuel Lino,Offence,Brazil,1999-12-23T00:00:00Z
El Jebari,Offence,Spain,2004-02-05T00:00:00Z
Adrián,Offence,Spain,2004-06-19T00:00:00Z
Arthur Vermeeren,Midfielder,Belgium,2005-02-07T00:00:00Z
