Nombre,Posición,Nacionalidad,Fecha de Nacimiento
Marc-André ter Stegen,Goalkeeper,Germany,1992-04-30T00:00:00Z
Iñaki Peña,Goalkeeper,Spain,1999-03-02T00:00:00Z
Marc Vidal,Goalkeeper,Spain,2000-02-14T00:00:00Z
Ander Astralaga,Goalkeeper,Spain,2004-03-03T00:00:00Z
Diego Kochen,Goalkeeper,USA,2006-03-19T00:00:00Z
Áron Yaakobishvili,Goalkeeper,Hungary,2006-03-06T00:00:00Z
João Cancelo,Defence,Portugal,1994-05-27T00:00:00Z
Marcos Alonso,Defence,Spain,1990-12-28T00:00:00Z
Andreas Christensen,Defence,Denmark,1996-04-10T00:00:00Z
Jules Koundé,Defence,France,1998-11-12T00:00:00Z
Sergi Roberto,Defence,Spain,1992-02-07T00:00:00Z
Ronald Araújo,Defence,Uruguay,1999-03-07T00:00:00Z
Íñigo Martínez,Defence,Spain,1991-05-17T00:00:00Z
Raphinha,Defence,Brazil,1996-12-14T00:00:00Z
Álex Balde,Defence,Spain,2003-10-18T00:00:00Z
Pau Cubarsí,Defence,Spain,2007-01-22T00:00:00Z
Héctor Fort,Defence,Spain,2006-08-02T00:00:00Z
Mikayil Faye,Defence,Senegal,2004-07-14T00:00:00Z
Ilkay Gündogan,Midfield,Germany,1990-10-24T00:00:00Z
Frenkie de Jong,Midfield,Netherlands,1997-05-12T00:00:00Z
Oriol Romeu,Midfield,Spain,1991-09-24T00:00:00Z
Pablo Gavira,Midfield,Spain,2004-08-05T00:00:00Z
Unai Hernandez,Midfield,Spain,2004-12-14T00:00:00Z
Marc Casado,Midfield,Spain,2003-09-14T00:00:00Z
Aleix Garrido,Midfield,Spain,2004-02-22T00:00:00Z
Pau Prim,Midfield,Spain,2006-02-22T00:00:00Z
Robert Lewandowski,Offence,Poland,1988-08-21T00:00:00Z
Ferrán Torres,Offence,Spain,2000-02-29T00:00:00Z
João Félix,Offence,Portugal,1999-11-10T00:00:00Z
Pedri,Offence,Spain,2002-11-25T00:00:00Z
Pau Victor Delgado,Offence,Spain,2001-11-26T00:00:00Z
Vítor Roque,Offence,Brazil,2005-02-28T00:00:00Z
Angel Alarcon,Offence,Spain,2004-05-15T00:00:00Z
Lamine Yamal,Offence,Spain,2007-07-13T00:00:00Z
Marc Guiu,Offence,Spain,2006-01-04T00:00:00Z
Fermín López,Offence,Spain,2003-05-11T00:00:00Z
Xavi Hernandez,,Spain,1980-01-25T00:00:00Z
