Nombre,Posición,Nacionalidad,Fecha de Nacimiento
Manuel Neuer,Goalkeeper,Germany,1986-03-27T00:00:00Z
Sven Ulreich,Goalkeeper,Germany,1988-08-03T00:00:00Z
Daniel Peretz,Goalkeeper,Israel,2000-07-10T00:00:00Z
Tom Hülsmann,Goalkeeper,Germany,2004-04-11T00:00:00Z
Max Schmitt,Goalkeeper,Germany,2006-01-18T00:00:00Z
Raphaël Guerreiro,Defence,Portugal,1993-12-22T00:00:00Z
Eric Dier,Defence,England,1994-01-15T00:00:00Z
Matthijs de Ligt,Defence,Netherlands,1999-08-12T00:00:00Z
Noussair Mazraoui,Defence,Morocco,1997-11-14T00:00:00Z
Bouna Sarr,Defence,Senegal,1992-01-31T00:00:00Z
Dayot Upamecano,Defence,France,1998-10-27T00:00:00Z
Alphonso Davies,Defence,Canada,2000-11-02T00:00:00Z
Sacha Boey,Defence,France,2000-09-13T00:00:00Z
Min-Jae Kim,Defence,South Korea,1996-11-15T00:00:00Z
Tarek Buchmann,Defence,Germany,2005-02-28T00:00:00Z
Adam Aznou,Defence,Spain,2006-06-02T00:00:00Z
Serge Gnabry,Midfield,Germany,1995-07-14T00:00:00Z
Joshua Kimmich,Midfield,Germany,1995-02-08T00:00:00Z
Kingsley Coman,Midfield,France,1996-06-13T00:00:00Z
Leon Goretzka,Midfield,Germany,1995-02-06T00:00:00Z
Konrad Laimer,Midfield,Austria,1997-05-27T00:00:00Z
Jamal Musiala,Midfield,Germany,2003-02-26T00:00:00Z
Lovro Zvonarek,Midfield,Croatia,2005-05-08T00:00:00Z
Luca Denk,Midfield,Germany,2003-03-02T00:00:00Z
Noel Aseko Nkili,Midfield,Germany,2005-11-22T00:00:00Z
Aleksandar Pavlović,Midfield,Germany,2004-05-03T00:00:00Z
Thomas Müller,Offence,Germany,1989-09-13T00:00:00Z
Leroy Sané,Offence,Germany,1996-01-11T00:00:00Z
Maxim Choupo-Moting,Offence,Cameroon,1989-03-23T00:00:00Z
Harry Kane,Offence,England,1993-07-28T00:00:00Z
Mathys Tel,Offence,France,2005-04-27T00:00:00Z
Bryan Zaragoza,Offence,Spain,2001-04-25T00:00:00Z
Thomas Tuchel,,Germany,1973-08-29T00:00:00Z
