Nombre,Posición,Nacionalidad,Fecha de Nacimiento
Ederson,Goalkeeper,Brazil,1993-08-17T00:00:00Z
Scott Carson,Goalkeeper,England,1985-09-03T00:00:00Z
Stefan Ortega Moreno,Goalkeeper,Germany,1992-11-06T00:00:00Z
True Grant,Goalkeeper,England,2005-11-02T00:00:00Z
Manuel Akanji,Defence,Switzerland,1995-07-19T00:00:00Z
Sergio Gómez,Defence,Spain,2000-09-04T00:00:00Z
Kyle Walker,Defence,England,1990-05-28T00:00:00Z
John Stones,Defence,England,1994-05-28T00:00:00Z
Nathan Aké,Defence,Netherlands,1995-02-18T00:00:00Z
Rúben Dias,Defence,Portugal,1997-05-14T00:00:00Z
Joško Gvardiol,Defence,Croatia,2002-01-23T00:00:00Z
Max Alleyne,Defence,England,2005-07-21T00:00:00Z
Mateo Kovačić,Midfield,Croatia,1994-05-06T00:00:00Z
Rodri,Midfield,Spain,1996-06-22T00:00:00Z
Bernardo Silva,Midfield,Portugal,1994-08-10T00:00:00Z
Kevin De Bruyne,Midfield,Belgium,1991-06-28T00:00:00Z
Jack Grealish,Midfield,England,1995-09-10T00:00:00Z
Phil Foden,Midfield,England,2000-05-28T00:00:00Z
Pep Guardiola,Midfield,Spain,1971-01-18T00:00:00Z
Matheus Nunes,Midfield,Portugal,1998-08-27T00:00:00Z
Oscar Bobb,Midfield,Norway,2003-07-12T00:00:00Z
Micah Hamilton,Midfield,England,2003-11-13T00:00:00Z
Mahamadou Susoho,Midfield,Spain,2005-01-20T00:00:00Z
Jacob Wright,Midfield,England,2005-09-21T00:00:00Z
Erling Haaland,Offence,Norway,2000-07-21T00:00:00Z
Julián Álvarez,Offence,Argentina,2000-01-31T00:00:00Z
Jeremy Doku,Offence,Belgium,2002-05-27T00:00:00Z
Rico Lewis,Defender,England,2004-11-21T00:00:00Z
