Nombre,Posición,Nacionalidad,Fecha de Nacimiento
Keylor Navas,Goalkeeper,Costa Rica,1986-12-15T00:00:00Z
Sergio Rico,Goalkeeper,Spain,1993-09-01T00:00:00Z
Gianluigi Donnarumma,Goalkeeper,Italy,1999-02-25T00:00:00Z
Alexandre Letellier,Goalkeeper,France,1990-12-11T00:00:00Z
Arnau Tenas,Goalkeeper,Spain,2001-05-30T00:00:00Z
Louis Mouquet,Goalkeeper,Portugal,2004-07-21T00:00:00Z
Achraf Hakimi,Defence,Morocco,1998-11-04T00:00:00Z
Milan Škriniar,Defence,Slovakia,1995-02-11T00:00:00Z
Marquinhos,Defence,Brazil,1994-05-14T00:00:00Z
Presnel Kimpembe,Defence,France,1995-08-13T00:00:00Z
Lucas Hernández,Defence,France,1996-02-14T00:00:00Z
Nordi Mukiele,Defence,France,1997-11-01T00:00:00Z
Layvin Kurzawa,Defence,France,1992-09-04T00:00:00Z
Nuno Mendes,Defence,Portugal,2002-06-19T00:00:00Z
Lucas Beraldo,Defence,Brazil,2003-11-24T00:00:00Z
Serif Nhaga,Defence,Portugal,2005-09-01T00:00:00Z
Kouakou Gadou,Defence,France,2007-01-17T00:00:00Z
Yoram Zague,Defence,France,2006-05-15T00:00:00Z
Fabián Ruiz,Midfield,Spain,1996-04-03T00:00:00Z
Marco Asensio,Midfield,Spain,1996-01-21T00:00:00Z
Luis Enrique,Midfield,Spain,1970-05-08T00:00:00Z
Danilo Pereira,Midfield,Portugal,1991-09-09T00:00:00Z
Manuel Ugarte,Midfield,Uruguay,2001-04-11T00:00:00Z
Carlos Soler,Midfield,Spain,1997-01-02T00:00:00Z
Bradley Barcola,Midfield,France,2002-09-02T00:00:00Z
Vitinha,Midfield,Portugal,2000-02-13T00:00:00Z
Warren Zaïre-Emery,Midfield,France,2006-03-08T00:00:00Z
Kang-in Lee,Midfield,South Korea,2001-02-19T00:00:00Z
Ethan Mbappé,Midfield,France,2006-12-29T00:00:00Z
Senny Mayulu,Midfield,France,2006-05-17T00:00:00Z
Ousmane Dembélé,Offence,France,1997-05-15T00:00:00Z
Kylian Mbappé,Offence,France,1998-12-20T00:00:00Z
Randal Kolo Muani,Offence,France,1998-12-05T00:00:00Z
Gonçalo Ramos,Offence,Portugal,2001-06-20T00:00:00Z
Jean-Luc Aubert,,France,1974-01-22T00:00:00Z
