Nombre,Posición,Nacionalidad,Fecha de Nacimiento
Kepa Arrizabalaga,Goalkeeper,Spain,1994-10-03T00:00:00Z
Thibaut Courtois,Goalkeeper,Belgium,1992-05-11T00:00:00Z
Andriy Lunin,Goalkeeper,Ukraine,1999-02-11T00:00:00Z
Lucas Cañizars,Goalkeeper,Spain,2002-05-10T00:00:00Z
Diego Pineiro,Goalkeeper,Spain,2004-02-13T00:00:00Z
Fran Gonzalez,Goalkeeper,Spain,2005-06-24T00:00:00Z
Lucas Vázquez,Defence,Spain,1991-07-01T00:00:00Z
Nacho,Defence,Spain,1990-01-18T00:00:00Z
David Alaba,Defence,Austria,1992-06-24T00:00:00Z
Éder Militão,Defence,Brazil,1998-01-18T00:00:00Z
Antonio Rüdiger,Defence,Germany,1993-03-03T00:00:00Z
Dani Carvajal,Defence,Spain,1992-01-11T00:00:00Z
Ferland Mendy,Defence,France,1995-06-08T00:00:00Z
Vinicius Tobias,Defence,Brazil,2004-02-23T00:00:00Z
Fran García,Defence,Spain,1999-08-14T00:00:00Z
Álvaro Carrillo,Defence,Spain,2002-04-06T00:00:00Z
Edgar Pujol,Defence,Spain,2004-08-07T00:00:00Z
Jacobo Ramón,Defence,Spain,2005-06-06T00:00:00Z
Luka Modrić,Midfield,Croatia,1985-09-09T00:00:00Z
Toni Kroos,Midfield,Germany,1990-01-04T00:00:00Z
Dani Ceballos,Midfield,Spain,1996-08-07T00:00:00Z
Federico Valverde,Midfield,Uruguay,1998-07-22T00:00:00Z
Brahim Diaz,Midfield,Morocco,1999-08-03T00:00:00Z
Aurélien Tchouameni,Midfield,France,2000-01-27T00:00:00Z
Carlo Ancelotti,Midfield,Italy,1959-06-10T00:00:00Z
Eduardo Camavinga,Midfield,France,2002-11-10T00:00:00Z
Jude Bellingham,Midfield,England,2003-06-29T00:00:00Z
Arda Guler,Midfield,Turkey,2005-02-25T00:00:00Z
Mario Martin,Midfield,Spain,2004-03-05T00:00:00Z
Nico Paz,Midfield,Spain,2004-09-08T00:00:00Z
Gonzalo García,Midfield,Spain,2004-03-24T00:00:00Z
Theo Zidane,Midfield,France,2002-05-18T00:00:00Z
Rodrygo,Offence,Brazil,2001-01-09T00:00:00Z
Vinicius Junior,Offence,Brazil,2000-07-12T00:00:00Z
Joselu,Offence,Spain,1990-03-27T00:00:00Z
Alvaro Rodriguez,Offence,Spain,2004-07-14T00:00:00Z
