SEASON,equipo,p_jugados,p_ganados,p_empatados,p_perdidos,goles_a_favor,goles_en_contra,diferencia_de_goles,puntos_total
2023-2024,Bayern Munich,6,5,1,0,12,6,6,
2023-2024,FC Copenhagen,6,2,2,2,8,8,0,
2023-2024,Galatasaray,6,1,2,3,10,13,-3,
2023-2024,Manchester Utd,6,1,1,4,12,15,-3,
2023-2024,Arsenal,6,4,1,1,16,4,12,
2023-2024,PSV Eindhoven,6,2,3,1,8,10,-2,
2023-2024,Lens,6,2,2,2,6,11,-5,
2023-2024,Sevilla,6,0,2,4,7,12,-5,
2023-2024,Real Madrid,6,6,0,0,16,7,9,
2023-2024,Napoli,6,3,1,2,10,9,1,
2023-2024,Braga,6,1,1,4,6,12,-6,
2023-2024,Union Berlin,6,0,2,4,6,10,-4,
2023-2024,Real Sociedad,6,3,3,0,7,2,5,
2023-2024,Inter,6,3,3,0,8,5,3,
2023-2024,Benfica,6,1,1,4,7,11,-4,
2023-2024,RB Salzburg,6,1,1,4,4,8,-4,
2023-2024,Atlético Madrid,6,4,2,0,17,6,11,
2023-2024,Lazio,6,3,1,2,7,7,0,
2023-2024,Feyenoord,6,2,0,4,9,10,-1,
2023-2024,Celtic,6,1,1,4,5,15,-10,
2023-2024,Dortmund,6,3,2,1,7,4,3,
2023-2024,Paris S-G,6,2,2,2,9,8,1,
2023-2024,Milan,6,2,2,2,5,8,-3,
2023-2024,Newcastle Utd,6,1,2,3,6,7,-1,
2023-2024,Manchester City,6,6,0,0,18,7,11,
2023-2024,RB Leipzig,6,4,0,2,13,10,3,
2023-2024,Young Boys,6,1,1,4,7,13,-6,
2023-2024,Red Star,6,0,1,5,7,15,-8,
2023-2024,Barcelona,6,4,0,2,12,6,6,
2023-2024,Porto,6,4,0,2,15,8,7,
2023-2024,Shakhtar,6,3,0,3,10,12,-2,
2023-2024,Antwerp,6,1,0,5,6,17,-11,
2016-2017,,6,4,1,1,12,6,6,13.0
2016-2017,,4,2,1,1,11,7,4,7.0
2016-2017,,6,5,1,0,8,2,6,16.0
2016-2017,,4,1,2,1,7,6,1,5.0
2016-2017,,5,4,0,1,16,4,12,12.0
2016-2017,,3,0,3,0,5,5,0,3.0
2016-2017,,3,0,2,1,3,4,-1,2.0
2016-2017,,5,3,1,1,17,9,8,10.0
2016-2017,,3,0,2,1,2,3,-1,2.0
2016-2017,,3,0,1,2,3,7,-4,1.0
2016-2017,,3,0,0,3,1,7,-6,0.0
2016-2017,,3,1,0,2,7,4,3,3.0
2016-2017,,3,0,0,3,0,6,-6,0.0
2016-2017,,5,4,1,0,21,1,20,13.0
2016-2017,,3,0,1,2,3,7,-4,1.0
2016-2017,,3,1,2,0,4,0,4,5.0
2016-2017,,4,2,1,1,7,3,4,7.0
2016-2017,,3,1,1,1,5,5,0,4.0
2016-2017,,7,4,2,1,10,6,4,14.0
2016-2017,,3,1,1,1,4,9,-5,4.0
2016-2017,,5,4,1,0,7,2,5,13.0
2016-2017,,4,3,1,0,13,5,8,10.0
2016-2017,,3,1,1,1,3,1,2,4.0
2016-2017,,3,0,1,2,3,6,-3,1.0
2016-2017,,3,0,1,2,1,3,-2,1.0
2016-2017,,4,2,2,0,10,3,7,8.0
2016-2017,,6,5,1,0,19,7,12,16.0
2016-2017,,4,2,1,1,4,3,1,7.0
2016-2017,,4,1,1,2,7,8,-1,4.0
2016-2017,,4,3,0,1,8,4,4,9.0
2016-2017,,3,1,0,2,4,4,0,3.0
2016-2017,,3,1,0,2,4,4,0,3.0
2017-2018,,3,0,1,2,1,10,-9,1.0
2017-2018,,3,0,0,3,2,9,-7,0.0
2017-2018,,6,5,1,0,12,2,10,16.0
2017-2018,,3,1,1,1,4,3,1,4.0
2017-2018,,6,4,1,1,15,3,12,13.0
2017-2018,,4,1,2,1,5,5,0,5.0
2017-2018,,3,0,1,2,3,6,-3,1.0
2017-2018,,3,1,0,2,3,6,-3,3.0
2017-2018,,3,0,0,3,1,8,-7,0.0
2017-2018,,4,1,3,0,11,5,6,6.0
2017-2018,,5,5,0,0,15,2,13,15.0
2017-2018,,4,2,0,2,7,6,1,6.0
2017-2018,,4,2,0,2,9,11,-2,6.0
2017-2018,,3,1,0,2,3,7,-4,3.0
2017-2018,,5,2,2,1,6,6,0,8.0
2017-2018,,6,4,2,0,20,4,16,14.0
2017-2018,,5,3,0,2,7,5,2,9.0
2017-2018,,4,3,0,1,8,3,5,9.0
2017-2018,,3,0,2,1,2,9,-7,2.0
2017-2018,,3,0,1,2,2,5,-3,1.0
2017-2018,,4,3,0,1,16,3,13,9.0
2017-2018,,3,0,1,2,1,6,-5,1.0
2017-2018,,3,1,1,1,5,5,0,4.0
2017-2018,,3,0,0,3,1,9,-8,0.0
2017-2018,,7,4,2,1,16,10,6,14.0
2017-2018,,3,0,0,3,1,5,-4,0.0
2017-2018,,3,2,0,1,8,5,3,6.0
2017-2018,,5,2,2,1,9,6,3,8.0
2017-2018,,4,4,0,0,9,4,5,12.0
2017-2018,,3,1,2,0,7,3,4,5.0
2017-2018,,3,1,1,1,4,3,1,4.0
2017-2018,,4,3,0,1,10,4,6,9.0
2018-2019,,3,0,1,2,6,8,-2,1.0
2018-2019,,3,0,0,3,2,7,-5,0.0
2018-2019,,6,2,2,2,11,9,2,8.0
2018-2019,,3,0,0,3,1,8,-7,0.0
2018-2019,,4,3,0,1,10,3,7,9.0
2018-2019,,4,4,0,0,9,1,8,12.0
2018-2019,,3,1,1,1,3,5,-2,4.0
2018-2019,,4,2,1,1,9,5,4,7.0
2018-2019,,4,2,1,1,7,1,6,7.0
2018-2019,,3,1,0,2,3,4,-1,3.0
2018-2019,,3,0,2,1,1,2,-1,2.0
2018-2019,,3,1,1,1,3,4,-1,4.0
2018-2019,,6,5,1,0,18,2,16,16.0
2018-2019,,5,4,0,1,12,7,5,12.0
2018-2019,,4,2,1,1,6,4,2,7.0
2018-2019,,3,1,1,1,5,3,2,4.0
2018-2019,,3,1,2,0,4,3,1,5.0
2018-2019,,5,3,0,2,9,4,5,9.0
2018-2019,,6,5,1,0,14,2,12,16.0
2018-2019,,3,1,0,2,3,4,-1,3.0
2018-2019,,5,4,0,1,20,6,14,12.0
2018-2019,,5,1,1,3,1,4,-3,4.0
2018-2019,,4,0,4,0,6,6,0,4.0
2018-2019,,3,0,1,2,4,6,-2,1.0
2018-2019,,4,2,1,1,11,7,4,7.0
2018-2019,,4,2,0,2,6,8,-2,6.0
2018-2019,,3,1,1,1,2,3,-1,4.0
2018-2019,,3,2,1,0,5,2,3,7.0
2018-2019,,3,0,2,1,3,6,-3,2.0
2018-2019,,7,4,0,3,9,8,1,12.0
2018-2019,,3,2,0,1,5,4,1,6.0
2018-2019,,3,1,1,1,4,8,-4,4.0
2019-2020,,3,1,0,2,3,2,1,3.0
2019-2020,,5,2,1,2,9,6,3,7.0
2019-2020,,4,3,1,0,6,2,4,10.0
2019-2020,,3,1,0,2,3,5,-2,3.0
2019-2020,,4,4,0,0,12,2,10,12.0
2019-2020,,4,3,1,0,7,4,3,10.0
2019-2020,,4,1,1,2,6,9,-3,4.0
2019-2020,,3,0,1,2,1,8,-7,1.0
2019-2020,,3,1,0,2,3,11,-8,3.0
2019-2020,,3,1,1,1,8,7,1,4.0
2019-2020,,5,3,1,1,10,11,-1,10.0
2019-2020,,3,0,1,2,1,3,-2,1.0
2019-2020,,3,1,1,1,4,3,1,4.0
2019-2020,,4,4,0,0,8,2,6,12.0
2019-2020,,3,0,1,2,2,8,-6,1.0
2019-2020,,3,0,1,2,2,5,-3,1.0
2019-2020,,4,2,1,1,9,8,1,7.0
2019-2020,,3,0,0,3,1,6,-5,0.0
2019-2020,,5,3,1,1,11,6,5,10.0
2019-2020,,3,1,1,1,5,5,0,4.0
2019-2020,,5,2,2,1,7,7,0,8.0
2019-2020,,5,4,0,1,11,1,10,12.0
2019-2020,,6,3,1,2,9,9,0,10.0
2019-2020,,3,1,0,2,8,7,1,3.0
2019-2020,,4,1,2,1,11,6,5,5.0
2019-2020,,3,2,0,1,6,3,3,6.0
2019-2020,,4,2,2,0,8,2,6,8.0
2019-2020,,3,0,1,2,2,8,-6,1.0
2019-2020,,3,0,0,3,2,7,-5,0.0
2019-2020,,4,2,0,2,11,10,1,6.0
2019-2020,,4,1,1,2,9,10,-1,4.0
2019-2020,,3,2,0,1,5,3,2,6.0
2020-2021,,3,1,0,2,3,3,0,3.0
2020-2021,,4,0,2,2,3,9,-6,2.0
2020-2021,,4,1,2,1,4,4,0,5.0
2020-2021,,5,4,0,1,13,5,8,12.0
2020-2021,,4,1,1,2,8,7,1,4.0
2020-2021,,5,2,2,1,9,5,4,8.0
2020-2021,,6,3,2,1,8,2,6,11.0
2020-2021,,3,1,1,1,4,4,0,4.0
2020-2021,,3,1,0,2,1,6,-5,3.0
2020-2021,,4,2,0,2,8,9,-1,6.0
2020-2021,,3,0,1,2,2,7,-5,1.0
2020-2021,,5,3,1,1,7,3,4,10.0
2020-2021,,3,1,0,2,2,6,-4,3.0
2020-2021,,3,0,1,2,3,9,-6,1.0
2020-2021,,3,0,2,1,2,4,-2,2.0
2020-2021,,4,3,0,1,8,5,3,9.0
2020-2021,,4,2,1,1,9,8,1,7.0
2020-2021,,5,3,1,1,5,2,3,10.0
2020-2021,,3,0,1,2,3,6,-3,1.0
2020-2021,,7,6,0,1,15,3,12,18.0
2020-2021,,3,2,0,1,10,4,6,6.0
2020-2021,,3,1,0,2,1,3,-2,3.0
2020-2021,,3,1,0,2,2,6,-4,3.0
2020-2021,,6,2,1,3,9,7,2,7.0
2020-2021,,4,3,0,1,7,5,2,9.0
2020-2021,,3,0,1,2,4,10,-6,1.0
2020-2021,,6,4,1,1,14,8,6,13.0
2020-2021,,4,2,0,2,6,9,-3,6.0
2020-2021,,3,1,1,1,2,6,-4,4.0
2020-2021,,3,0,1,2,3,6,-3,1.0
2020-2021,,3,0,1,2,3,5,-2,1.0
2020-2021,,3,1,0,2,5,7,-2,3.0
2021-2022,,3,0,1,2,3,5,-2,1.0
2021-2022,,4,3,0,1,10,3,7,9.0
2021-2022,,3,1,1,1,5,5,0,4.0
2021-2022,,5,0,3,2,3,5,-2,3.0
2021-2022,,3,1,1,1,6,8,-2,4.0
2021-2022,,5,4,1,0,21,4,17,13.0
2021-2022,,3,0,0,3,3,8,-5,0.0
2021-2022,,3,2,0,1,7,3,4,6.0
2021-2022,,5,4,0,1,12,3,9,12.0
2021-2022,,3,0,1,2,2,11,-9,1.0
2021-2022,,3,0,1,2,1,3,-2,1.0
2021-2022,,3,1,1,1,1,3,-2,4.0
2021-2022,,3,1,0,2,3,8,-5,3.0
2021-2022,,3,1,0,2,3,6,-3,3.0
2021-2022,,4,2,0,2,5,4,1,6.0
2021-2022,,4,3,0,1,6,5,1,9.0
2021-2022,,4,1,2,1,2,2,0,5.0
2021-2022,,7,4,1,2,12,7,5,13.0
2021-2022,,3,0,1,2,1,5,-4,1.0
2021-2022,,6,5,1,0,17,8,9,16.0
2021-2022,,4,2,1,1,6,5,1,7.0
2021-2022,,4,4,0,0,10,3,7,12.0
2021-2022,,3,1,1,1,5,5,0,4.0
2021-2022,,4,3,1,0,7,3,4,10.0
2021-2022,,6,4,0,2,13,8,5,12.0
2021-2022,,5,2,1,2,8,9,-1,7.0
2021-2022,,3,1,1,1,4,3,1,4.0
2021-2022,,3,0,2,1,1,6,-5,2.0
2021-2022,,4,2,0,2,8,11,-3,6.0
2021-2022,,3,1,1,1,4,5,-1,4.0
2021-2022,,6,2,2,2,8,8,0,8.0
2021-2022,,3,1,1,1,7,4,3,4.0
2022-2023,,6,4,0,2,9,5,4,12.0
2022-2023,,3,1,0,2,5,9,-4,3.0
2022-2023,,3,1,2,0,4,3,1,5.0
2022-2023,,3,1,1,1,2,3,-1,4.0
2022-2023,,5,4,1,0,12,1,11,13.0
2022-2023,,4,2,2,0,5,1,4,8.0
2022-2023,,3,0,1,2,1,6,-5,1.0
2022-2023,,5,3,1,1,8,4,4,10.0
2022-2023,,4,2,0,2,3,6,-3,6.0
2022-2023,,3,1,1,1,2,5,-3,4.0
2022-2023,,4,1,1,2,2,6,-4,4.0
2022-2023,,3,1,1,1,8,7,1,4.0
2022-2023,,3,0,3,0,1,1,0,3.0
2022-2023,,4,2,1,1,4,5,-1,7.0
2022-2023,,6,4,1,1,10,5,5,13.0
2022-2023,,3,1,0,2,5,5,0,3.0
2022-2023,,4,3,0,1,8,6,2,9.0
2022-2023,,3,1,0,2,4,9,-5,3.0
