SEASON,equipo,p_jugados,p_ganados,p_empatados,p_perdidos,goles_a_favor,goles_en_contra
2016-2017,FC Basel,6,0,2,4,3,12
2016-2017,PFC Ludogorets Razgrad,6,0,3,3,6,15
2016-2017,Paris Saint-Germain,8,4,3,1,18,13
2016-2017,Arsenal FC,8,4,2,2,20,16
2016-2017,Dinamo Kiev,6,1,2,3,8,6
2016-2017,SSC Napoli,8,3,2,3,13,14
2016-2017,SL Benfica,8,3,2,3,11,14
2016-2017,Beşiktaş,6,1,4,1,9,14
2016-2017,FC Barcelona,10,6,1,3,26,12
2016-2017,Celtic FC,6,0,3,3,5,16
2016-2017,Manchester City,8,3,3,2,18,16
2016-2017,Bor. Mönchengladbach,6,1,2,3,5,12
2016-2017,Bayern München,10,6,0,4,27,14
2016-2017,FK Rostov,6,1,2,3,6,12
2016-2017,PSV Eindhoven,6,0,2,4,4,11
2016-2017,Atlético Madrid,12,8,2,2,15,9
2016-2017,Bayer Leverkusen,8,2,5,1,10,8
2016-2017,CSKA Moskva,6,0,3,3,5,11
2016-2017,Tottenham Hotspur,6,2,1,3,6,6
2016-2017,AS Monaco,12,6,2,4,22,20
2016-2017,Legia Warszawa,6,1,1,4,9,24
2016-2017,Borussia Dortmund,10,5,2,3,28,16
2016-2017,Real Madrid,13,9,3,1,36,18
2016-2017,Sporting CP,6,1,0,5,5,8
2016-2017,Club Brugge KV,6,0,0,6,2,14
2016-2017,Leicester City,10,5,2,3,11,10
2016-2017,FC Porto,8,3,2,3,9,6
2016-2017,FC København,6,2,3,1,7,2
2016-2017,Juventus,13,9,3,1,22,7
2016-2017,Sevilla FC,8,4,2,2,9,6
2016-2017,Olympique Lyon,6,2,2,2,5,3
2016-2017,Dinamo Zagreb,6,0,0,6,0,15
2017-2018,Manchester United,8,5,1,2,13,5
2017-2018,FC Basel,8,5,0,3,13,10
2017-2018,SL Benfica,6,0,0,6,1,14
2017-2018,CSKA Moskva,6,3,0,3,8,10
2017-2018,Bayern München,12,8,2,2,26,12
2017-2018,RSC Anderlecht,6,1,0,5,2,17
2017-2018,Celtic FC,6,1,0,5,5,18
2017-2018,Paris Saint-Germain,8,5,0,3,27,9
2017-2018,AS Roma,12,6,2,4,21,19
2017-2018,Atlético Madrid,6,1,4,1,5,4
2017-2018,Chelsea FC,8,3,3,2,17,12
2017-2018,Qarabağ FK,6,0,2,4,2,14
2017-2018,FC Barcelona,10,6,3,1,17,6
2017-2018,Juventus,10,5,3,2,14,12
2017-2018,Olympiakos Piraeus,6,0,1,5,4,13
2017-2018,Sporting CP,6,2,1,3,8,9
2017-2018,Liverpool FC,13,7,4,2,41,16
2017-2018,Sevilla FC,10,3,5,2,15,15
2017-2018,NK Maribor,6,0,3,3,3,16
2017-2018,Spartak Moskva,6,1,3,2,9,13
2017-2018,Shakhtar Donetsk,8,5,0,3,11,11
2017-2018,SSC Napoli,6,2,0,4,11,11
2017-2018,Feyenoord,6,1,0,5,5,14
2017-2018,Manchester City,10,6,0,4,20,12
2017-2018,FC Porto,8,3,2,3,15,15
2017-2018,Beşiktaş,8,4,2,2,12,13
2017-2018,RB Leipzig,6,2,1,3,10,11
2017-2018,AS Monaco,6,0,2,4,6,16
2017-2018,Tottenham Hotspur,8,5,2,1,18,8
2017-2018,Borussia Dortmund,6,0,2,4,7,13
2017-2018,Real Madrid,13,9,2,2,33,16
2017-2018,APOEL Nikosia,6,0,2,4,2,17
2018-2019,AS Monaco,6,0,1,5,2,14
2018-2019,Atlético Madrid,8,5,1,2,11,9
2018-2019,Club Brugge KV,6,1,3,2,6,5
2018-2019,Borussia Dortmund,8,4,1,3,10,6
2018-2019,FC Barcelona,12,8,3,1,26,10
2018-2019,PSV Eindhoven,6,0,2,4,6,13
2018-2019,Inter,6,2,2,2,6,7
2018-2019,Tottenham Hotspur,13,6,2,5,20,19
2018-2019,Liverpool FC,13,8,1,4,24,12
2018-2019,Paris Saint-Germain,8,4,2,2,20,12
2018-2019,Crvena Zvezda,6,1,1,4,5,17
2018-2019,SSC Napoli,6,2,3,1,7,5
2018-2019,FC Schalke 04,8,3,2,3,8,14
2018-2019,FC Porto,10,6,1,3,20,15
2018-2019,Galatasaray,6,1,1,4,5,8
2018-2019,Lokomotiv Moskva,6,1,0,5,4,12
2018-2019,AFC Ajax,12,6,4,2,22,13
2018-2019,AEK Athen,6,0,0,6,2,13
2018-2019,SL Benfica,6,2,1,3,6,11
2018-2019,Bayern München,8,4,3,1,16,8
