SEASON,equipo,p_jugados,p_ganados,p_empatados,p_perdidos,goles_a_favor,goles_en_contra,puntos
2017-2018,Manchester United,8,5,1,2,13,5,0
2017-2018,FC Basel,8,5,0,3,13,10,3
2017-2018,SL Benfica,6,0,0,6,1,14,0
2017-2018,CSKA Moskva,6,3,0,3,8,10,0
2017-2018,Bayern München,12,8,2,2,26,12,1
2017-2018,RSC Anderlecht,6,1,0,5,2,17,3
2017-2018,Celtic FC,6,1,0,5,5,18,0
2017-2018,Paris Saint-Germain,8,5,0,3,27,9,0
2017-2018,AS Roma,12,6,2,4,21,19,3
2017-2018,Atlético Madrid,6,1,4,1,5,4,1
2017-2018,Chelsea FC,8,3,3,2,17,12,0
2017-2018,Qarabağ FK,6,0,2,4,2,14,0
2017-2018,FC Barcelona,10,6,3,1,17,6,0
2017-2018,Juventus,10,5,3,2,14,12,3
2017-2018,Olympiakos Piraeus,6,0,1,5,4,13,0
2017-2018,Sporting CP,6,2,1,3,8,9,0
2017-2018,Liverpool FC,13,7,4,2,41,16,0
2017-2018,Sevilla FC,10,3,5,2,15,15,1
2017-2018,NK Maribor,6,0,3,3,3,16,1
2017-2018,Spartak Moskva,6,1,3,2,9,13,0
2017-2018,Shakhtar Donetsk,8,5,0,3,11,11,0
2017-2018,SSC Napoli,6,2,0,4,11,11,0
2017-2018,Feyenoord,6,1,0,5,5,14,3
2017-2018,Manchester City,10,6,0,4,20,12,0
2017-2018,FC Porto,8,3,2,3,15,15,1
2017-2018,Beşiktaş,8,4,2,2,12,13,0
2017-2018,RB Leipzig,6,2,1,3,10,11,0
2017-2018,AS Monaco,6,0,2,4,6,16,0
2017-2018,Tottenham Hotspur,8,5,2,1,18,8,0
2017-2018,Borussia Dortmund,6,0,2,4,7,13,0
2017-2018,Real Madrid,13,9,2,2,33,16,3
2017-2018,APOEL Nikosia,6,0,2,4,2,17,0
